bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1891622,3027119,text,6485,text/html,Introduced,https://legiscan.com/TX/text/HB707/id/3027119,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00707I.htm
1891593,3027100,text,3021,text/html,Introduced,https://legiscan.com/TX/text/HB708/id/3027100,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00708I.htm
1891344,3026910,text,35080,text/html,Introduced,https://legiscan.com/TX/text/HB709/id/3026910,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00709I.htm
1890758,3026480,text,48233,text/html,Introduced,https://legiscan.com/TX/text/HB710/id/3026480,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00710I.htm
1890549,3026351,text,8356,text/html,Introduced,https://legiscan.com/TX/text/HB711/id/3026351,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00711I.htm
1891549,3027064,text,34810,text/html,Introduced,https://legiscan.com/TX/text/HB712/id/3027064,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00712I.htm
1891052,3026696,text,6511,text/html,Introduced,https://legiscan.com/TX/text/HB713/id/3026696,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00713I.htm
1890673,3026427,text,41182,text/html,Introduced,https://legiscan.com/TX/text/HB714/id/3026427,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00714I.htm
1891051,3026695,text,138596,text/html,Introduced,https://legiscan.com/TX/text/HB715/id/3026695,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00715I.htm
1891353,3026916,text,19464,text/html,Introduced,https://legiscan.com/TX/text/HB716/id/3026916,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00716I.htm
1891586,3027095,text,6644,text/html,Introduced,https://legiscan.com/TX/text/HB717/id/3027095,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00717I.htm
1891431,3026978,text,7148,text/html,Introduced,https://legiscan.com/TX/text/HB718/id/3026978,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00718I.htm
1891232,3026824,text,7214,text/html,Introduced,https://legiscan.com/TX/text/HB719/id/3026824,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00719I.htm
1890493,3026315,text,23599,text/html,Introduced,https://legiscan.com/TX/text/HB720/id/3026315,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00720I.htm
1891357,3026919,text,9290,text/html,Introduced,https://legiscan.com/TX/text/HB721/id/3026919,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00721I.htm
1891749,3027210,text,7146,text/html,Introduced,https://legiscan.com/TX/text/HB722/id/3027210,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00722I.htm
1890470,3026303,text,14881,text/html,Introduced,https://legiscan.com/TX/text/HB723/id/3026303,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00723I.htm
1891559,3027073,text,5880,text/html,Introduced,https://legiscan.com/TX/text/HB724/id/3027073,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00724I.htm
